0.00.002.779 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.694 I srv    load_model: loading model '/fast_drive/cache/hub/models--unsloth--Qwen3.6-35B-A3B-GGUF/snapshots/a483e9e6cbd595906af30beda3187c2663a1118c/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf'
0.13.651.543 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.13.668.437 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.13.668.476 I srv  llama_server: model loaded
0.13.668.488 I srv  llama_server: listening on http://127.0.0.1:8131
17.05.156.332 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
25.19.066.845 I slot print_timing: id  3 | task 23 | n_decoded =    282, tg =   8.64 t/s, tg_3s =   8.53 t/s
25.22.133.598 I slot print_timing: id  3 | task 23 | n_decoded =    307, tg =   8.60 t/s, tg_3s =   8.15 t/s
25.25.176.461 I slot print_timing: id  3 | task 23 | n_decoded =    333, tg =   8.60 t/s, tg_3s =   8.54 t/s
25.28.192.261 I slot print_timing: id  3 | task 23 | n_decoded =    359, tg =   8.60 t/s, tg_3s =   8.62 t/s
25.29.170.699 I slot print_timing: id  3 | task 23 | prompt eval time =  144084.85 ms /  6614 tokens (   21.78 ms per token,    45.90 tokens per second)
25.29.170.714 I slot print_timing: id  3 | task 23 |        eval time =   42726.66 ms /   367 tokens (  116.42 ms per token,     8.59 tokens per second)
25.29.170.715 I slot print_timing: id  3 | task 23 |       total time =  186811.51 ms /  6981 tokens
25.29.170.721 I slot print_timing: id  3 | task 23 |    graphs reused =        365
25.29.174.415 I slot      release: id  3 | task 23 | stop processing: n_tokens = 31440, truncated = 0
25.31.732.123 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.979 (> 0.100 thold), f_keep = 1.000
25.31.734.671 I slot launch_slot_: id  3 | task 396 | processing task, is_child = 0
25.35.874.784 I slot print_timing: id  3 | task 396 | prompt processing, n_tokens =    174, progress = 0.98, t =   4.14 s / 42.03 tokens per second
25.48.773.789 I slot print_timing: id  3 | task 396 | prompt processing, n_tokens =    686, progress = 1.00, t =  17.04 s / 40.26 tokens per second
26.01.633.780 I slot print_timing: id  3 | task 396 | n_decoded =    100, tg =   7.97 t/s, tg_3s =   7.97 t/s
26.04.764.680 I slot print_timing: id  3 | task 396 | n_decoded =    124, tg =   7.91 t/s, tg_3s =   7.67 t/s
26.07.854.635 I slot print_timing: id  3 | task 396 | n_decoded =    149, tg =   7.94 t/s, tg_3s =   8.09 t/s
26.08.342.846 I slot print_timing: id  3 | task 396 | prompt eval time =   17349.30 ms /   690 tokens (   25.14 ms per token,    39.77 tokens per second)
26.08.342.855 I slot print_timing: id  3 | task 396 |        eval time =   19258.62 ms /   153 tokens (  125.87 ms per token,     7.94 tokens per second)
26.08.342.856 I slot print_timing: id  3 | task 396 |       total time =   36607.93 ms /   843 tokens
26.08.342.857 I slot print_timing: id  3 | task 396 |    graphs reused =        515
26.08.344.339 I slot      release: id  3 | task 396 | stop processing: n_tokens = 32282, truncated = 0
26.08.895.280 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
26.08.897.129 I slot launch_slot_: id  3 | task 553 | processing task, is_child = 0
26.16.014.398 I slot print_timing: id  3 | task 553 | prompt processing, n_tokens =    261, progress = 1.00, t =   7.12 s / 36.67 tokens per second
26.28.426.305 I slot print_timing: id  3 | task 553 | n_decoded =    100, tg =   8.19 t/s, tg_3s =   8.19 t/s
26.31.440.023 I slot print_timing: id  3 | task 553 | n_decoded =    126, tg =   8.28 t/s, tg_3s =   8.63 t/s
26.34.481.248 I slot print_timing: id  3 | task 553 | n_decoded =    151, tg =   8.27 t/s, tg_3s =   8.22 t/s
26.37.519.073 I slot print_timing: id  3 | task 553 | n_decoded =    176, tg =   8.26 t/s, tg_3s =   8.23 t/s
26.40.581.463 I slot print_timing: id  3 | task 553 | n_decoded =    201, tg =   8.25 t/s, tg_3s =   8.16 t/s
26.43.026.954 I slot print_timing: id  3 | task 553 | prompt eval time =    7319.70 ms /   265 tokens (   27.62 ms per token,    36.20 tokens per second)
26.43.026.963 I slot print_timing: id  3 | task 553 |        eval time =   26809.88 ms /   221 tokens (  121.31 ms per token,     8.24 tokens per second)
26.43.026.964 I slot print_timing: id  3 | task 553 |       total time =   34129.59 ms /   486 tokens
26.43.026.965 I slot print_timing: id  3 | task 553 |    graphs reused =        734
26.43.028.280 I slot      release: id  3 | task 553 | stop processing: n_tokens = 32767, truncated = 1
26.43.190.986 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.954 (> 0.100 thold), f_keep = 0.948
26.43.193.176 I slot launch_slot_: id  3 | task 777 | processing task, is_child = 0
26.51.689.274 I slot print_timing: id  3 | task 777 | prompt processing, n_tokens =    360, progress = 0.96, t =   8.50 s / 42.37 tokens per second
27.06.696.713 I slot print_timing: id  3 | task 777 | prompt processing, n_tokens =   1015, progress = 0.98, t =  23.50 s / 43.19 tokens per second
27.10.244.861 I slot print_timing: id  3 | task 777 | prompt processing, n_tokens =   1170, progress = 0.99, t =  27.05 s / 43.25 tokens per second
27.17.676.048 I slot print_timing: id  3 | task 777 | prompt processing, n_tokens =   1482, progress = 1.00, t =  34.48 s / 42.98 tokens per second
27.18.857.226 I slot print_timing: id  3 | task 777 | prompt processing, n_tokens =   1527, progress = 1.00, t =  35.66 s / 42.82 tokens per second
27.31.195.371 I slot print_timing: id  3 | task 777 | n_decoded =    100, tg =   8.23 t/s, tg_3s =   8.23 t/s
27.34.303.010 I slot print_timing: id  3 | task 777 | n_decoded =    124, tg =   8.12 t/s, tg_3s =   7.72 t/s
27.37.391.620 I slot print_timing: id  3 | task 777 | n_decoded =    150, tg =   8.17 t/s, tg_3s =   8.42 t/s
27.40.487.089 I slot print_timing: id  3 | task 777 | n_decoded =    175, tg =   8.16 t/s, tg_3s =   8.08 t/s
27.41.458.360 I slot print_timing: id  3 | task 777 | prompt eval time =   35844.57 ms /  1531 tokens (   23.41 ms per token,    42.71 tokens per second)
27.41.458.369 I slot print_timing: id  3 | task 777 |        eval time =   22420.38 ms /   182 tokens (  123.19 ms per token,     8.12 tokens per second)
27.41.458.370 I slot print_timing: id  3 | task 777 |       total time =   58264.95 ms /  1713 tokens
27.41.458.371 I slot print_timing: id  3 | task 777 |    graphs reused =        914
27.41.459.689 I slot      release: id  3 | task 777 | stop processing: n_tokens = 32767, truncated = 1
27.41.613.896 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.994 (> 0.100 thold), f_keep = 0.994
27.41.615.814 I slot launch_slot_: id  3 | task 965 | processing task, is_child = 0
27.41.616.011 E srv    send_error: task id = 965, error: request (32794 tokens) exceeds the available context size (32768 tokens), try increasing it
27.41.616.025 I slot      release: id  3 | task 965 | stop processing: n_tokens = 32767, truncated = 0
27.41.616.059 W srv          stop: cancel task, id_task = 965
29.52.281.964 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
29.52.282.091 I slot launch_slot_: id  2 | task 968 | processing task, is_child = 0
29.52.806.027 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
29.52.890.880 I slot launch_slot_: id  1 | task 969 | processing task, is_child = 0
30.06.391.079 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   2048, progress = 0.21, t =  13.50 s / 151.70 tokens per second
30.21.977.347 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   4096, progress = 0.42, t =  29.09 s / 140.82 tokens per second
30.40.114.055 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   6144, progress = 0.63, t =  47.22 s / 130.11 tokens per second
30.59.967.868 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   8192, progress = 0.84, t =  67.08 s / 122.13 tokens per second
31.15.042.516 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   9256, progress = 0.95, t =  82.15 s / 112.67 tokens per second
31.15.078.538 I slot print_timing: id  2 | task 968 | prompt processing, n_tokens =    307, progress = 0.78, t =  15.11 s / 20.32 tokens per second
31.18.834.199 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   9554, progress = 0.98, t =  85.94 s / 111.17 tokens per second
31.18.869.255 I slot print_timing: id  2 | task 968 | prompt processing, n_tokens =    388, progress = 0.99, t =  18.90 s / 20.53 tokens per second
31.21.197.704 I slot print_timing: id  1 | task 969 | prompt processing, n_tokens =   9768, progress = 1.00, t =  88.31 s / 110.61 tokens per second
31.32.187.879 I slot print_timing: id  2 | task 968 | n_decoded =    100, tg =   9.10 t/s, tg_3s =   9.10 t/s
31.32.303.122 I slot print_timing: id  1 | task 969 | n_decoded =    100, tg =   9.19 t/s, tg_3s =   9.19 t/s
31.35.215.054 I slot print_timing: id  2 | task 968 | n_decoded =    127, tg =   9.06 t/s, tg_3s =   8.92 t/s
31.35.323.715 I slot print_timing: id  1 | task 969 | n_decoded =    127, tg =   9.13 t/s, tg_3s =   8.94 t/s
31.38.294.639 I slot print_timing: id  2 | task 968 | n_decoded =    155, tg =   9.07 t/s, tg_3s =   9.09 t/s
31.38.401.607 I slot print_timing: id  1 | task 969 | n_decoded =    155, tg =   9.13 t/s, tg_3s =   9.10 t/s
31.39.825.634 I slot print_timing: id  1 | task 969 | prompt eval time =   88526.91 ms /  9772 tokens (    9.06 ms per token,   110.38 tokens per second)
31.39.825.646 I slot print_timing: id  1 | task 969 |        eval time =   18407.63 ms /   168 tokens (  109.57 ms per token,     9.13 tokens per second)
31.39.825.647 I slot print_timing: id  1 | task 969 |       total time =  106934.54 ms /  9940 tokens
31.39.825.649 I slot print_timing: id  1 | task 969 |    graphs reused =       1078
31.39.826.224 I slot      release: id  1 | task 969 | stop processing: n_tokens = 9939, truncated = 0
31.41.177.892 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.849 (> 0.100 thold), f_keep = 1.000
31.41.179.693 I slot launch_slot_: id  1 | task 1163 | processing task, is_child = 0
31.41.375.115 I slot print_timing: id  2 | task 968 | n_decoded =    189, tg =   9.37 t/s, tg_3s =  11.04 t/s
31.57.532.671 I slot print_timing: id  2 | task 968 | n_decoded =    190, tg =   5.23 t/s, tg_3s =   0.06 t/s
31.57.532.696 I slot print_timing: id  1 | task 1163 | prompt processing, n_tokens =   1248, progress = 0.96, t =  16.35 s / 76.32 tokens per second
32.04.585.637 I slot print_timing: id  2 | task 968 | n_decoded =    191, tg =   4.40 t/s, tg_3s =   0.14 t/s
32.04.585.673 I slot print_timing: id  1 | task 1163 | prompt processing, n_tokens =   1760, progress = 1.00, t =  23.41 s / 75.19 tokens per second
32.07.689.203 I slot print_timing: id  2 | task 968 | n_decoded =    216, tg =   4.65 t/s, tg_3s =   8.06 t/s
32.10.723.435 I slot print_timing: id  2 | task 968 | n_decoded =    242, tg =   4.89 t/s, tg_3s =   8.57 t/s
32.13.760.120 I slot print_timing: id  2 | task 968 | n_decoded =    267, tg =   5.08 t/s, tg_3s =   8.23 t/s
32.16.600.152 I slot print_timing: id  1 | task 1163 | n_decoded =    100, tg =   8.51 t/s, tg_3s =   8.51 t/s
32.16.866.987 I slot print_timing: id  2 | task 968 | n_decoded =    293, tg =   5.26 t/s, tg_3s =   8.37 t/s
32.19.720.710 I slot print_timing: id  1 | task 1163 | n_decoded =    125, tg =   8.40 t/s, tg_3s =   8.01 t/s
32.19.969.870 I slot print_timing: id  2 | task 968 | n_decoded =    318, tg =   5.41 t/s, tg_3s =   8.06 t/s
32.22.807.714 I slot print_timing: id  1 | task 1163 | n_decoded =    152, tg =   8.46 t/s, tg_3s =   8.75 t/s
32.23.029.615 I slot print_timing: id  2 | task 968 | n_decoded =    345, tg =   5.58 t/s, tg_3s =   8.82 t/s
32.25.872.884 I slot print_timing: id  1 | task 1163 | n_decoded =    180, tg =   8.56 t/s, tg_3s =   9.13 t/s
32.26.082.512 I slot print_timing: id  2 | task 968 | n_decoded =    373, tg =   5.75 t/s, tg_3s =   9.17 t/s
32.27.234.245 I slot print_timing: id  1 | task 1163 | prompt eval time =   23667.50 ms /  1764 tokens (   13.42 ms per token,    74.53 tokens per second)
32.27.234.255 I slot print_timing: id  1 | task 1163 |        eval time =   22386.92 ms /   193 tokens (  115.99 ms per token,     8.62 tokens per second)
32.27.234.256 I slot print_timing: id  1 | task 1163 |       total time =   46054.42 ms /  1957 tokens
32.27.234.257 I slot print_timing: id  1 | task 1163 |    graphs reused =       1285
32.27.234.897 I slot      release: id  1 | task 1163 | stop processing: n_tokens = 11895, truncated = 0
32.28.680.871 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.977 (> 0.100 thold), f_keep = 1.000
32.28.682.830 I slot launch_slot_: id  1 | task 1379 | processing task, is_child = 0
32.32.561.346 I slot print_timing: id  2 | task 968 | n_decoded =    404, tg =   5.66 t/s, tg_3s =   4.78 t/s
32.32.561.374 I slot print_timing: id  1 | task 1379 | prompt processing, n_tokens =    280, progress = 1.00, t =   3.88 s / 72.19 tokens per second
32.35.583.286 I slot print_timing: id  2 | task 968 | n_decoded =    426, tg =   5.73 t/s, tg_3s =   7.28 t/s
32.38.586.263 I slot print_timing: id  2 | task 968 | n_decoded =    450, tg =   5.81 t/s, tg_3s =   7.99 t/s
32.41.625.051 I slot print_timing: id  2 | task 968 | n_decoded =    474, tg =   5.89 t/s, tg_3s =   7.90 t/s
32.44.652.697 I slot print_timing: id  2 | task 968 | n_decoded =    501, tg =   6.00 t/s, tg_3s =   8.92 t/s
32.44.991.789 I slot print_timing: id  1 | task 1379 | n_decoded =    100, tg =   8.21 t/s, tg_3s =   8.21 t/s
32.47.677.758 I slot print_timing: id  2 | task 968 | n_decoded =    528, tg =   6.11 t/s, tg_3s =   8.93 t/s
32.48.013.459 I slot print_timing: id  1 | task 1379 | n_decoded =    127, tg =   8.36 t/s, tg_3s =   8.94 t/s
32.50.732.846 I slot print_timing: id  2 | task 968 | n_decoded =    556, tg =   6.21 t/s, tg_3s =   9.17 t/s
32.51.058.577 I slot print_timing: id  1 | task 1379 | n_decoded =    155, tg =   8.50 t/s, tg_3s =   9.20 t/s
32.53.275.099 I slot print_timing: id  1 | task 1379 | prompt eval time =    4135.45 ms /   284 tokens (   14.56 ms per token,    68.67 tokens per second)
32.53.275.108 I slot print_timing: id  1 | task 1379 |        eval time =   20456.69 ms /   175 tokens (  116.90 ms per token,     8.55 tokens per second)
32.53.275.109 I slot print_timing: id  1 | task 1379 |       total time =   24592.14 ms /   459 tokens
32.53.275.110 I slot print_timing: id  1 | task 1379 |    graphs reused =       1473
32.53.275.804 I slot      release: id  1 | task 1379 | stop processing: n_tokens = 12353, truncated = 0
32.53.578.374 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.816 (> 0.100 thold), f_keep = 1.000
32.53.580.161 I slot launch_slot_: id  1 | task 1561 | processing task, is_child = 0
32.53.769.035 I slot print_timing: id  2 | task 968 | n_decoded =    584, tg =   6.31 t/s, tg_3s =   9.22 t/s
33.21.621.191 I slot print_timing: id  2 | task 968 | n_decoded =    585, tg =   4.86 t/s, tg_3s =   0.04 t/s
33.21.621.217 I slot print_timing: id  1 | task 1561 | prompt processing, n_tokens =   2049, progress = 0.95, t =  28.04 s / 73.07 tokens per second
33.24.759.569 I slot print_timing: id  2 | task 968 | n_decoded =    586, tg =   4.74 t/s, tg_3s =   0.32 t/s
33.24.759.596 I slot print_timing: id  1 | task 1561 | prompt processing, n_tokens =   2261, progress = 0.97, t =  31.18 s / 72.52 tokens per second
33.31.893.198 I slot print_timing: id  2 | task 968 | n_decoded =    587, tg =   4.49 t/s, tg_3s =   0.14 t/s
33.31.893.225 I slot print_timing: id  1 | task 1561 | prompt processing, n_tokens =   2773, progress = 1.00, t =  38.31 s / 72.38 tokens per second
33.34.953.926 I slot print_timing: id  2 | task 968 | n_decoded =    611, tg =   4.57 t/s, tg_3s =   7.84 t/s
33.37.964.438 I slot print_timing: id  2 | task 968 | n_decoded =    639, tg =   4.67 t/s, tg_3s =   9.30 t/s
33.40.974.921 I slot print_timing: id  2 | task 968 | n_decoded =    667, tg =   4.77 t/s, tg_3s =   9.30 t/s
33.43.184.530 I slot print_timing: id  1 | task 1561 | n_decoded =    100, tg =   9.05 t/s, tg_3s =   9.05 t/s
33.44.042.860 I slot print_timing: id  2 | task 968 | n_decoded =    695, tg =   4.87 t/s, tg_3s =   9.13 t/s
33.46.225.857 I slot print_timing: id  1 | task 1561 | n_decoded =    128, tg =   9.08 t/s, tg_3s =   9.21 t/s
33.47.072.683 I slot print_timing: id  2 | task 968 | n_decoded =    723, tg =   4.96 t/s, tg_3s =   9.24 t/s
33.49.242.702 I slot print_timing: id  1 | task 1561 | n_decoded =    156, tg =   9.12 t/s, tg_3s =   9.28 t/s
33.50.128.292 I slot print_timing: id  2 | task 968 | n_decoded =    751, tg =   5.04 t/s, tg_3s =   9.16 t/s
33.52.311.650 I slot print_timing: id  1 | task 1561 | n_decoded =    184, tg =   9.12 t/s, tg_3s =   9.12 t/s
33.53.205.343 I slot print_timing: id  2 | task 968 | n_decoded =    779, tg =   5.12 t/s, tg_3s =   9.10 t/s
33.55.365.878 I slot print_timing: id  1 | task 1561 | n_decoded =    211, tg =   9.08 t/s, tg_3s =   8.84 t/s
33.56.273.757 I slot print_timing: id  2 | task 968 | n_decoded =    805, tg =   5.19 t/s, tg_3s =   8.47 t/s
33.58.403.484 I slot print_timing: id  1 | task 1561 | n_decoded =    234, tg =   8.91 t/s, tg_3s =   7.57 t/s
33.59.359.836 I slot print_timing: id  2 | task 968 | n_decoded =    829, tg =   5.24 t/s, tg_3s =   7.78 t/s
34.00.952.124 I slot print_timing: id  1 | task 1561 | prompt eval time =   38548.57 ms /  2777 tokens (   13.88 ms per token,    72.04 tokens per second)
34.00.952.132 I slot print_timing: id  1 | task 1561 |        eval time =   28823.26 ms /   256 tokens (  112.59 ms per token,     8.88 tokens per second)
34.00.952.133 I slot print_timing: id  1 | task 1561 |       total time =   67371.83 ms /  3033 tokens
34.00.952.135 I slot print_timing: id  1 | task 1561 |    graphs reused =       1728
34.00.953.008 I slot      release: id  1 | task 1561 | stop processing: n_tokens = 15385, truncated = 0
34.02.360.563 I slot print_timing: id  2 | task 968 | n_decoded =    862, tg =   5.35 t/s, tg_3s =  11.00 t/s
34.03.898.050 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.780 (> 0.100 thold), f_keep = 0.993
34.03.899.870 I slot launch_slot_: id  1 | task 1863 | processing task, is_child = 0
34.31.328.382 I slot print_timing: id  2 | task 968 | n_decoded =    885, tg =   4.65 t/s, tg_3s =   0.79 t/s
34.31.328.413 I slot print_timing: id  1 | task 1863 | prompt processing, n_tokens =   2047, progress = 0.74, t =  27.43 s / 74.63 tokens per second
34.44.712.500 I slot print_timing: id  2 | task 968 | n_decoded =    886, tg =   4.35 t/s, tg_3s =   0.07 t/s
34.44.712.532 I slot print_timing: id  1 | task 1863 | prompt processing, n_tokens =   3008, progress = 0.78, t =  40.81 s / 73.70 tokens per second
35.21.065.857 I slot print_timing: id  2 | task 968 | n_decoded =    887, tg =   3.70 t/s, tg_3s =   0.03 t/s
35.21.065.889 I slot print_timing: id  1 | task 1863 | prompt processing, n_tokens =   5055, progress = 0.89, t =  77.17 s / 65.51 tokens per second
35.48.962.399 I slot print_timing: id  2 | task 968 | n_decoded =    888, tg =   3.32 t/s, tg_3s =   0.04 t/s
35.48.962.424 I slot print_timing: id  1 | task 1863 | prompt processing, n_tokens =   6714, progress = 0.97, t = 105.06 s / 63.90 tokens per second
35.56.833.515 I slot print_timing: id  2 | task 968 | n_decoded =    889, tg =   3.23 t/s, tg_3s =   0.13 t/s
35.56.833.540 I slot print_timing: id  1 | task 1863 | prompt processing, n_tokens =   7226, progress = 1.00, t = 112.93 s / 63.98 tokens per second
35.59.937.319 I slot print_timing: id  2 | task 968 | n_decoded =    917, tg =   3.29 t/s, tg_3s =   9.02 t/s
36.02.969.583 I slot print_timing: id  2 | task 968 | n_decoded =    946, tg =   3.36 t/s, tg_3s =   9.56 t/s
36.06.011.994 I slot print_timing: id  2 | task 968 | n_decoded =    975, tg =   3.42 t/s, tg_3s =   9.53 t/s
36.07.492.113 I slot print_timing: id  1 | task 1863 | n_decoded =    100, tg =   9.59 t/s, tg_3s =   9.59 t/s
36.09.067.756 I slot print_timing: id  2 | task 968 | n_decoded =   1002, tg =   3.48 t/s, tg_3s =   8.84 t/s
36.10.576.964 I slot print_timing: id  1 | task 1863 | n_decoded =    127, tg =   9.40 t/s, tg_3s =   8.75 t/s
36.12.085.931 I slot print_timing: id  2 | task 968 | n_decoded =   1030, tg =   3.54 t/s, tg_3s =   9.28 t/s
36.13.618.932 I slot print_timing: id  1 | task 1863 | n_decoded =    155, tg =   9.36 t/s, tg_3s =   9.20 t/s
36.14.695.620 I slot print_timing: id  2 | task 968 | prompt eval time =   21229.72 ms /   392 tokens (   54.16 ms per token,    18.46 tokens per second)
36.14.695.627 I slot print_timing: id  2 | task 968 |        eval time =  293497.95 ms /  1054 tokens (  278.46 ms per token,     3.59 tokens per second)
36.14.695.628 I slot print_timing: id  2 | task 968 |       total time =  314727.67 ms /  1446 tokens
36.14.695.629 I slot print_timing: id  2 | task 968 |    graphs reused =       1931
36.14.695.726 I slot      release: id  2 | task 968 | stop processing: n_tokens = 1445, truncated = 0
36.16.628.623 I slot print_timing: id  1 | task 1863 | n_decoded =    185, tg =   9.46 t/s, tg_3s =   9.97 t/s
36.19.709.188 I slot print_timing: id  1 | task 1863 | n_decoded =    217, tg =   9.58 t/s, tg_3s =  10.39 t/s
36.22.717.876 I slot print_timing: id  1 | task 1863 | n_decoded =    248, tg =   9.67 t/s, tg_3s =  10.30 t/s
36.25.740.778 I slot print_timing: id  1 | task 1863 | n_decoded =    279, tg =   9.73 t/s, tg_3s =  10.26 t/s
36.28.798.775 I slot print_timing: id  1 | task 1863 | n_decoded =    309, tg =   9.74 t/s, tg_3s =   9.81 t/s
